#  E (eV)   dos(E)     Int dos(E)
-16.984  0.6133E+00  0.1484E+01
-16.974  0.6628E+00  0.1490E+01
-16.964  0.7170E+00  0.1498E+01
-16.954  0.7598E+00  0.1505E+01
-16.944  0.7743E+00  0.1513E+01
-16.934  0.7525E+00  0.1520E+01
-16.924  0.6996E+00  0.1527E+01
-16.914  0.6315E+00  0.1534E+01
-16.904  0.5641E+00  0.1539E+01
-16.894  0.5071E+00  0.1544E+01
-16.884  0.4635E+00  0.1549E+01
-16.874  0.4337E+00  0.1553E+01
-16.864  0.4169E+00  0.1558E+01
-16.854  0.4098E+00  0.1562E+01
-16.844  0.4061E+00  0.1566E+01
-16.834  0.3997E+00  0.1570E+01
-16.824  0.3897E+00  0.1574E+01
-16.814  0.3806E+00  0.1577E+01
-16.804  0.3775E+00  0.1581E+01
-16.794  0.3796E+00  0.1585E+01
-16.784  0.3806E+00  0.1589E+01
-16.774  0.3747E+00  0.1593E+01
-16.764  0.3625E+00  0.1596E+01
-16.754  0.3516E+00  0.1600E+01
-16.744  0.3493E+00  0.1603E+01
-16.734  0.3552E+00  0.1607E+01
-16.724  0.3612E+00  0.1610E+01
-16.714  0.3582E+00  0.1614E+01
-16.704  0.3448E+00  0.1617E+01
-16.694  0.3290E+00  0.1621E+01
-16.684  0.3218E+00  0.1624E+01
-16.674  0.3277E+00  0.1627E+01
-16.664  0.3403E+00  0.1631E+01
-16.654  0.3472E+00  0.1634E+01
-16.644  0.3407E+00  0.1637E+01
-16.634  0.3248E+00  0.1641E+01
-16.624  0.3144E+00  0.1644E+01
-16.614  0.3256E+00  0.1647E+01
-16.604  0.3659E+00  0.1651E+01
-16.594  0.4289E+00  0.1655E+01
-16.584  0.4976E+00  0.1660E+01
-16.574  0.5534E+00  0.1666E+01
-16.564  0.5837E+00  0.1671E+01
-16.554  0.5867E+00  0.1677E+01
-16.544  0.5685E+00  0.1683E+01
-16.534  0.5381E+00  0.1688E+01
-16.524  0.5008E+00  0.1693E+01
-16.514  0.4567E+00  0.1698E+01
-16.504  0.4042E+00  0.1702E+01
-16.494  0.3465E+00  0.1705E+01
-16.484  0.2937E+00  0.1708E+01
-16.474  0.2597E+00  0.1711E+01
-16.464  0.2534E+00  0.1714E+01
-16.454  0.2720E+00  0.1716E+01
-16.444  0.3005E+00  0.1719E+01
-16.434  0.3194E+00  0.1722E+01
-16.424  0.3154E+00  0.1726E+01
-16.414  0.2888E+00  0.1728E+01
-16.404  0.2536E+00  0.1731E+01
-16.394  0.2289E+00  0.1733E+01
-16.384  0.2284E+00  0.1736E+01
-16.374  0.2521E+00  0.1738E+01
-16.364  0.2867E+00  0.1741E+01
-16.354  0.3123E+00  0.1744E+01
-16.344  0.3137E+00  0.1747E+01
-16.334  0.2890E+00  0.1750E+01
-16.324  0.2509E+00  0.1753E+01
-16.314  0.2209E+00  0.1755E+01
-16.304  0.2206E+00  0.1757E+01
-16.294  0.2646E+00  0.1760E+01
-16.284  0.3599E+00  0.1763E+01
-16.274  0.5093E+00  0.1768E+01
-16.264  0.7150E+00  0.1776E+01
-16.254  0.9767E+00  0.1785E+01
-16.244  0.1284E+01  0.1798E+01
-16.234  0.1608E+01  0.1814E+01
-16.224  0.1905E+01  0.1833E+01
-16.214  0.2132E+01  0.1855E+01
-16.204  0.2259E+01  0.1877E+01
-16.194  0.2278E+01  0.1900E+01
-16.184  0.2201E+01  0.1922E+01
-16.174  0.2048E+01  0.1942E+01
-16.164  0.1845E+01  0.1961E+01
-16.154  0.1626E+01  0.1977E+01
-16.144  0.1429E+01  0.1991E+01
-16.134  0.1289E+01  0.2004E+01
-16.124  0.1222E+01  0.2017E+01
-16.114  0.1225E+01  0.2029E+01
-16.104  0.1268E+01  0.2042E+01
-16.094  0.1309E+01  0.2055E+01
-16.084  0.1309E+01  0.2068E+01
-16.074  0.1250E+01  0.2080E+01
-16.064  0.1140E+01  0.2092E+01
-16.054  0.1007E+01  0.2102E+01
-16.044  0.8845E+00  0.2111E+01
-16.034  0.7990E+00  0.2118E+01
-16.024  0.7612E+00  0.2126E+01
-16.014  0.7663E+00  0.2134E+01
-16.004  0.7969E+00  0.2142E+01
