#  E (eV)   dos(E)     Int dos(E)
  0.947  0.5872E+00  0.3602E+00
  0.948  0.5731E+00  0.3607E+00
  0.949  0.5592E+00  0.3613E+00
  0.950  0.5457E+00  0.3618E+00
  0.951  0.5324E+00  0.3624E+00
  0.952  0.5196E+00  0.3629E+00
  0.953  0.5071E+00  0.3634E+00
  0.954  0.4951E+00  0.3639E+00
  0.955  0.4836E+00  0.3644E+00
  0.956  0.4726E+00  0.3648E+00
  0.957  0.4622E+00  0.3653E+00
  0.958  0.4523E+00  0.3658E+00
  0.959  0.4431E+00  0.3662E+00
  0.960  0.4345E+00  0.3666E+00
  0.961  0.4266E+00  0.3671E+00
  0.962  0.4193E+00  0.3675E+00
  0.963  0.4128E+00  0.3679E+00
  0.964  0.4069E+00  0.3683E+00
  0.965  0.4018E+00  0.3687E+00
  0.966  0.3975E+00  0.3691E+00
  0.967  0.3939E+00  0.3695E+00
  0.968  0.3910E+00  0.3699E+00
  0.969  0.3890E+00  0.3703E+00
  0.970  0.3877E+00  0.3707E+00
  0.971  0.3872E+00  0.3711E+00
  0.972  0.3874E+00  0.3714E+00
  0.973  0.3885E+00  0.3718E+00
  0.974  0.3903E+00  0.3722E+00
  0.975  0.3928E+00  0.3726E+00
  0.976  0.3961E+00  0.3730E+00
  0.977  0.4001E+00  0.3734E+00
  0.978  0.4049E+00  0.3738E+00
  0.979  0.4103E+00  0.3742E+00
  0.980  0.4165E+00  0.3746E+00
  0.981  0.4232E+00  0.3751E+00
  0.982  0.4307E+00  0.3755E+00
  0.983  0.4387E+00  0.3759E+00
  0.984  0.4474E+00  0.3764E+00
  0.985  0.4566E+00  0.3768E+00
  0.986  0.4663E+00  0.3773E+00
  0.987  0.4766E+00  0.3778E+00
  0.988  0.4873E+00  0.3783E+00
  0.989  0.4985E+00  0.3788E+00
  0.990  0.5101E+00  0.3793E+00
  0.991  0.5221E+00  0.3798E+00
  0.992  0.5344E+00  0.3803E+00
  0.993  0.5470E+00  0.3809E+00
  0.994  0.5598E+00  0.3814E+00
  0.995  0.5730E+00  0.3820E+00
  0.996  0.5863E+00  0.3826E+00
  0.997  0.5997E+00  0.3832E+00
  0.998  0.6133E+00  0.3838E+00
  0.999  0.6269E+00  0.3844E+00
  1.000  0.6406E+00  0.3851E+00
  1.001  0.6543E+00  0.3857E+00
  1.002  0.6679E+00  0.3864E+00
  1.003  0.6815E+00  0.3871E+00
  1.004  0.6949E+00  0.3878E+00
  1.005  0.7082E+00  0.3885E+00
