#  E (eV)   dos(E)     Int dos(E)
 -0.816  0.2417E+00  0.7964E+00
 -0.806  0.3036E+00  0.7994E+00
 -0.796  0.3386E+00  0.8028E+00
 -0.786  0.3356E+00  0.8062E+00
 -0.776  0.2973E+00  0.8092E+00
 -0.766  0.2397E+00  0.8116E+00
 -0.756  0.1850E+00  0.8134E+00
 -0.746  0.1536E+00  0.8149E+00
 -0.736  0.1566E+00  0.8165E+00
 -0.726  0.1929E+00  0.8184E+00
 -0.716  0.2496E+00  0.8209E+00
 -0.706  0.3056E+00  0.8240E+00
 -0.696  0.3388E+00  0.8274E+00
 -0.686  0.3352E+00  0.8307E+00
 -0.676  0.2948E+00  0.8337E+00
 -0.666  0.2301E+00  0.8360E+00
 -0.656  0.1593E+00  0.8376E+00
 -0.646  0.9778E-01  0.8385E+00
 -0.636  0.5325E-01  0.8391E+00
 -0.626  0.2575E-01  0.8393E+00
 -0.616  0.1116E-01  0.8394E+00
 -0.606  0.4737E-02  0.8395E+00
 -0.596  0.3216E-02  0.8395E+00
 -0.586  0.5646E-02  0.8396E+00
 -0.576  0.1351E-01  0.8397E+00
 -0.566  0.3050E-01  0.8400E+00
 -0.556  0.6147E-01  0.8406E+00
 -0.546  0.1099E+00  0.8417E+00
 -0.536  0.1744E+00  0.8435E+00
 -0.526  0.2454E+00  0.8459E+00
 -0.516  0.3062E+00  0.8490E+00
 -0.506  0.3389E+00  0.8524E+00
 -0.496  0.3326E+00  0.8557E+00
 -0.486  0.2897E+00  0.8586E+00
 -0.476  0.2242E+00  0.8609E+00
 -0.466  0.1551E+00  0.8624E+00
 -0.456  0.9894E-01  0.8634E+00
 -0.446  0.6523E-01  0.8640E+00
 -0.436  0.5786E-01  0.8646E+00
 -0.426  0.7745E-01  0.8654E+00
 -0.416  0.1222E+00  0.8666E+00
 -0.406  0.1858E+00  0.8685E+00
 -0.396  0.2556E+00  0.8710E+00
 -0.386  0.3131E+00  0.8742E+00
 -0.376  0.3405E+00  0.8776E+00
 -0.366  0.3284E+00  0.8809E+00
 -0.356  0.2810E+00  0.8837E+00
 -0.346  0.2132E+00  0.8858E+00
 -0.336  0.1435E+00  0.8872E+00
 -0.326  0.8563E-01  0.8881E+00
 -0.316  0.4532E-01  0.8885E+00
 -0.306  0.2128E-01  0.8888E+00
 -0.296  0.8870E-02  0.8888E+00
 -0.286  0.3327E-02  0.8889E+00
 -0.276  0.1297E-02  0.8889E+00
 -0.266  0.1113E-02  0.8889E+00
 -0.256  0.2601E-02  0.8889E+00
 -0.246  0.7048E-02  0.8890E+00
 -0.236  0.1739E-01  0.8892E+00
 -0.226  0.3813E-01  0.8896E+00
 -0.216  0.7418E-01  0.8903E+00
 -0.206  0.1280E+00  0.8916E+00
 -0.196  0.1958E+00  0.8935E+00
 -0.186  0.2657E+00  0.8962E+00
 -0.176  0.3197E+00  0.8994E+00
 -0.166  0.3413E+00  0.9028E+00
 -0.156  0.3230E+00  0.9060E+00
 -0.146  0.2712E+00  0.9087E+00
 -0.136  0.2019E+00  0.9108E+00
 -0.126  0.1333E+00  0.9121E+00
 -0.116  0.7811E-01  0.9129E+00
 -0.106  0.4068E-01  0.9133E+00
 -0.096  0.1917E-01  0.9135E+00
 -0.086  0.9245E-02  0.9136E+00
 -0.076  0.7488E-02  0.9136E+00
 -0.066  0.1315E-01  0.9138E+00
 -0.056  0.2848E-01  0.9141E+00
 -0.046  0.5771E-01  0.9146E+00
 -0.036  0.1045E+00  0.9157E+00
 -0.026  0.1681E+00  0.9174E+00
 -0.016  0.2405E+00  0.9198E+00
 -0.006  0.3071E+00  0.9228E+00
  0.004  0.3523E+00  0.9264E+00
  0.014  0.3687E+00  0.9300E+00
  0.024  0.3620E+00  0.9337E+00
  0.034  0.3483E+00  0.9371E+00
  0.044  0.3435E+00  0.9406E+00
  0.054  0.3526E+00  0.9441E+00
  0.064  0.3660E+00  0.9478E+00
  0.074  0.3662E+00  0.9514E+00
  0.084  0.3399E+00  0.9548E+00
  0.094  0.2860E+00  0.9577E+00
  0.104  0.2155E+00  0.9598E+00
  0.114  0.1447E+00  0.9613E+00
  0.124  0.8635E-01  0.9622E+00
  0.134  0.4574E-01  0.9626E+00
  0.144  0.2149E-01  0.9628E+00
  0.154  0.8961E-02  0.9629E+00
  0.164  0.3313E-02  0.9629E+00
  0.174  0.1087E-02  0.9630E+00
  0.184  0.3160E-03  0.9630E+00
  0.194  0.8151E-04  0.9630E+00
  0.204  0.1865E-04  0.9630E+00
  0.214  0.3783E-05  0.9630E+00
  0.224  0.6812E-06  0.9630E+00
  0.234  0.1127E-06  0.9630E+00
  0.244  0.4642E-07  0.9630E+00
  0.254  0.2122E-06  0.9630E+00
  0.264  0.1263E-05  0.9630E+00
  0.274  0.6728E-05  0.9630E+00
  0.284  0.3179E-04  0.9630E+00
  0.294  0.1332E-03  0.9630E+00
  0.304  0.4950E-03  0.9630E+00
  0.314  0.1631E-02  0.9630E+00
  0.324  0.4769E-02  0.9630E+00
  0.334  0.1236E-01  0.9632E+00
  0.344  0.2842E-01  0.9634E+00
  0.354  0.5796E-01  0.9640E+00
  0.364  0.1048E+00  0.9651E+00
  0.374  0.1681E+00  0.9667E+00
  0.384  0.2391E+00  0.9691E+00
  0.394  0.3016E+00  0.9722E+00
  0.404  0.3374E+00  0.9755E+00
  0.414  0.3348E+00  0.9789E+00
  0.424  0.2946E+00  0.9818E+00
  0.434  0.2300E+00  0.9841E+00
  0.444  0.1594E+00  0.9857E+00
  0.454  0.9856E-01  0.9867E+00
